Subject,S-R mapping,Trial number,Stimulus,Response,RT
1,0,1,1,1,553
1,0,2,1,1,584
1,0,3,0,0,593
1,0,4,0,0,639
1,0,5,1,1,632
1,0,6,0,0,543
1,0,7,1,1,603
1,0,8,1,1,654
1,0,9,0,0,595
1,0,10,0,0,566
1,0,11,0,0,521
1,0,12,0,0,619
1,0,13,0,0,482
1,0,14,0,0,514
1,0,15,0,0,421
1,0,16,1,1,633
1,0,17,0,0,514
1,0,18,1,1,613
1,0,19,0,0,508
1,0,20,1,1,621
1,0,21,0,0,473
1,0,22,0,0,516
1,0,23,0,0,507
1,0,24,1,1,577
1,0,25,0,0,536
1,0,26,1,1,637
1,0,27,1,1,474
1,0,28,1,1,681
1,0,29,0,0,596
1,0,30,1,1,548
1,0,31,1,1,526
1,0,32,1,1,603
1,0,33,0,0,678
1,0,34,1,1,672
1,0,35,1,1,637
1,0,36,0,0,547
1,0,37,1,1,583
1,0,38,0,0,511
1,0,39,1,1,628
1,0,40,0,0,742
1,0,41,0,0,567
1,0,42,1,1,659
1,0,43,0,0,663
1,0,44,1,1,661
1,0,45,1,1,550
1,0,46,0,0,640
1,0,47,0,0,521
1,0,48,0,0,584
1,0,49,1,1,470
1,0,50,0,0,546
1,0,51,1,1,599
1,0,52,0,0,622
1,0,53,0,0,464
1,0,54,0,0,487
1,0,55,0,0,449
1,0,56,1,1,429
1,0,57,1,1,552
1,0,58,1,1,625
1,0,59,1,1,542
1,0,60,0,0,668
1,0,61,1,1,548
1,0,62,0,0,467
1,0,63,1,1,617
1,0,64,0,0,438
1,0,65,0,0,554
1,0,66,0,0,627
1,0,67,0,0,584
1,0,68,0,0,456
1,0,69,0,0,509
1,0,70,0,0,572
1,0,71,0,0,601
1,0,72,0,0,585
1,0,73,1,1,625
1,0,74,0,0,538
1,0,75,1,1,516
1,0,76,1,1,646
1,0,77,0,0,569
1,0,78,1,1,569
1,0,79,0,0,623
1,0,80,0,0,565
1,0,81,0,0,589
1,0,82,1,1,699
1,0,83,1,1,545
1,0,84,0,0,684
1,0,85,0,0,587
1,0,86,1,1,503
1,0,87,0,0,535
1,0,88,0,0,555
1,0,89,1,1,595
1,0,90,0,0,567
1,0,91,0,0,550
1,0,92,0,0,567
1,0,93,0,0,557
1,0,94,1,1,601
1,0,95,0,0,479
1,0,96,1,1,621
1,0,97,1,1,682
1,0,98,1,1,583
1,0,99,1,1,492
1,0,100,1,1,541
1,0,101,1,1,481
1,0,102,1,1,627
1,0,103,0,0,581
1,0,104,1,1,611
1,0,105,0,0,533
1,0,106,1,1,673
1,0,107,1,1,663
1,0,108,0,0,480
1,0,109,1,1,539
1,0,110,0,0,701
1,0,111,1,1,618
1,0,112,0,0,551
1,0,113,1,1,636
1,0,114,1,1,734
1,0,115,1,1,545
1,0,116,0,0,691
1,0,117,1,1,661
1,0,118,0,0,695
1,0,119,1,1,645
1,0,120,0,0,607
1,0,121,1,1,583
1,0,122,0,0,484
1,0,123,1,1,595
1,0,124,0,0,587
1,0,125,1,1,638
1,0,126,1,1,619
1,0,127,0,0,490
1,0,128,1,1,539
1,0,129,1,1,689
1,0,130,0,0,770
1,0,131,1,1,566
1,0,132,0,0,592
1,0,133,0,0,613
1,0,134,0,0,630
1,0,135,1,1,675
1,0,136,1,1,652
1,0,137,0,0,717
1,0,138,0,0,656
1,0,139,0,0,586
1,0,140,1,1,665
1,0,141,0,0,690
1,0,142,0,0,507
1,0,143,0,0,500
1,0,144,0,0,559
1,0,145,1,1,567
1,0,146,1,1,619
1,0,147,1,1,713
1,0,148,1,1,567
1,0,149,1,1,651
1,0,150,1,1,652
1,0,151,0,0,605
1,0,152,0,0,607
1,0,153,1,1,600
1,0,154,0,0,644
1,0,155,1,1,671
1,0,156,1,1,655
1,0,157,0,0,665
1,0,158,0,0,535
1,0,159,0,0,557
1,0,160,1,1,642
1,0,161,0,0,570
1,0,162,0,0,501
1,0,163,1,0,481
1,0,164,0,0,646
1,0,165,0,0,781
1,0,166,0,0,683
1,0,167,0,0,570
1,0,168,0,0,524
1,0,169,1,1,777
1,0,170,1,1,733
1,0,171,1,1,622
1,0,172,1,1,583
1,0,173,1,1,565
1,0,174,1,1,603
1,0,175,0,0,680
1,0,176,0,0,573
1,0,177,0,0,533
1,0,178,0,0,563
1,0,179,0,0,547
1,0,180,0,0,536
1,0,181,1,1,497
1,0,182,0,0,544
1,0,183,1,1,497
1,0,184,1,1,537
