,Subject,k,z1,z2,z3,zNW,a0/BA,a1/BS,x0,sz,nondectime,l,m1,m2,m3,mNW,BA,BS,x0.1,sz.1,nondectime.1,"LogLoss (nlDDM, train)","LogLoss (OU, train)","BIC (nlDDM, train)","BIC (OU, train)","LogLoss (nlDDM, test)","LogLoss (OU, test)","BIC (nlDDM, test)","BIC (OU, test)",# train samples,# test samples,CV
0,1.0,9.869458111062851,-0.9681216341619014,-0.9929519424968566,-0.944731481781094,-0.9999002727635976,0.1887230591922186,0.1479852414296858,0.3431353158698125,0.0292546053628967,0.3593681961899982,0.1636021476106792,0.9303855596677232,0.5440648167862943,0.3062373903917068,0.6191985959292818,0.1806802050121749,0.1582297060134201,0.0688131756036731,0.0824606943985789,0.3592558680859378,-306.743700750206,-777.0025661196353,-540.1180323633358,-1480.6357631021945,23.838851082674797,-79.57425661053776,107.18412769122683,-99.64208769519826,1536.0,384.0,0
0,1.0,4.186993183122998,-1.0,-0.8370425086685968,-0.7324519194024244,-0.8852033115506508,1.6737596817052132,1.8792477545000492,-0.5608723846714986,0.8095086083955797,0.283330447939305,0.1044880010697868,0.9535770417385656,0.5315529961432413,0.3634632795587773,0.6101404851128427,0.1886935601843649,0.1563757159740642,0.0685899749991514,0.0686315633543415,0.352971919889901,-796.6791087618319,-707.7589122376078,-1519.9888483865875,-1342.1484553381397,-202.2270401806705,-189.6252538666988,-344.9476548354638,-319.7440822075204,1536.0,384.0,1
0,1.0,9.699351114897189,-0.9900321030938036,-0.7599956040820669,-0.6242337809446293,-0.8177576979536219,0.987638712236375,1.1252681332934704,-0.3757177729606302,0.7765348125306155,0.2947300579360161,0.3074646464259327,0.9691029322759565,0.550940223488479,0.3548492538766599,0.6300004069261114,0.182834326131974,0.1560329555765851,0.0348831938461113,0.0457306137562561,0.3506442077356392,-791.0837412618976,-696.3177317281607,-1508.798113386719,-1319.2660943192452,-223.43803685284547,-203.89911187617855,-387.3696481798137,-348.2917982264799,1536.0,384.0,2
0,1.0,9.737351988052838,-0.9527864537089192,-0.7895684993604973,-0.6950953464710519,-0.8260618888454689,1.0530187209023132,1.1486733623976138,-0.5465914268252087,0.6568563345845112,0.2693809048432041,0.2838377639067007,1.0329141063310567,0.5642100207046319,0.375476431039373,0.6274575567583289,0.1841592833206324,0.1571015335269021,0.0060668012437206,0.0442080514049817,0.3513368223779733,-783.2692510608083,-684.6188191524442,-1493.1691329845405,-1295.8682691678123,-236.84147163422887,-177.8315681322138,-414.1765177425806,-296.1567107385503,1536.0,384.0,3
0,1.0,9.191999799182025,-0.9311720476522288,-0.8194058981897807,-0.7267508473821946,-0.8380278228692565,1.190227430852539,1.3035936054233783,-0.6670640424628391,0.4801520979660933,0.2427548814588743,0.2480836418720997,0.9797800198529352,0.6975609601388513,0.4222065402500439,0.7486447994945591,0.1865584452697732,0.1539728917642637,0.0071058344254242,0.0760940808266794,0.3544331576289566,-844.72398581305,-763.4808121686023,-1616.078602489024,-1453.5922552001284,-144.43936679507095,-94.71273586412816,-229.37230806426464,-129.91904620237904,1536.0,384.0,4
0,3.0,5.535927962946416,-0.8783984404656597,-0.8179865765252086,-0.7838685813960354,-0.8238627159971823,1.144999893559495,1.4136696853413853,-0.6898628352224817,0.2777638306709261,0.1374225243113029,0.1149356463186981,1.078189312290509,0.8369971932028921,0.6659321232894566,0.7961666293637686,0.2844597630465095,0.1621342503590268,-0.2592902040132893,0.0186431800822257,0.3284614352445219,-391.4094044410165,-258.995303542377,-709.4494397449567,-444.62123794767774,-61.20165688426109,11.641032637438965,-62.8968882426449,82.7884908007552,1536.0,384.0,0
0,3.0,9.172135355059693,-0.8144583189522818,-0.7076281694417165,-0.6811990624232287,-0.7386286085573572,0.8018834172106453,0.979852795832292,-0.5579736783325635,0.2793982479746517,0.1414757871531151,0.1018333918872009,1.0402430159564355,0.7715170916002974,0.6185100155535785,0.7783639658120753,0.2983137724334002,0.1761938224041439,-0.2576841015025773,0.0391338898071273,0.2969010484999496,-305.99383325182544,-237.62584127938533,-538.6182973665747,-401.8823134216945,-136.41440351087326,-84.13230669026206,-213.32238149586925,-108.75818785464683,1536.0,384.0,1
0,3.0,3.9411990129644767,-0.9264981599312954,-0.8496495005175617,-0.8232420136774979,-0.8601039506994335,1.3461249183043646,1.6229704226480883,-0.7206283084742691,0.2922676525135523,0.1080788288461063,0.131266332583937,1.0717146782968456,0.8143926016132546,0.6556791894942453,0.7698800938600192,0.2876923808114182,0.1626141580356597,-0.236865911109554,0.0279365353106011,0.3247704384001685,-359.2534501190736,-239.65625960125368,-645.137531101071,-405.9431500654312,-90.86271807175804,-83.41988906475447,-122.21901061763884,-107.33335260363168,1536.0,384.0,2
0,3.0,5.573776131028609,-0.8834434947993217,-0.8260025076347948,-0.7760832819626846,-0.8277737372484182,1.1241867016004357,1.3995956532328022,-0.6751664971147449,0.3387485020779194,0.1524617440057402,0.1111293136741906,1.049066576170099,0.8157818836668227,0.6398938925574766,0.7871530121698456,0.3033185737240553,0.1837736693822931,-0.2817654576444406,0.0560120911383832,0.2970653027248008,-367.31156009311,-294.5994566702076,-661.2537510491438,-515.829544203339,-81.07299447227457,-28.14341568020321,-102.63956341867188,3.219594165470852,1536.0,384.0,3
0,3.0,3.062002314126936,-0.9203891818888812,-0.8776774388987427,-0.8461266631009049,-0.8780727165759115,1.6713510089070458,2.0340529220232177,-0.7667436450067654,0.2996820744965028,0.1201328658229223,0.1044204404728592,1.0686672676249644,0.8188123398687797,0.6197184334142829,0.7745510868770884,0.2905129796483447,0.1642860344815546,-0.2063352647254818,0.0211353661129156,0.328571790875606,-390.6379503489374,-285.97127999170687,-707.9065315607986,-498.5731908463375,-57.75221284884185,-36.71694729079252,-55.99800017180643,-13.927469055707768,1536.0,384.0,4
