Subject,S-R mapping,Face RT,Number+Sound RT,Face accuracy,Number+Sound accuracy
1,0,552.5450819672132,555.3177966101695,0.9918032786885246,0.9957627118644068
2,1,516.6853448275862,499.15725806451616,0.9741379310344828,0.9838709677419355
3,0,492.22857142857146,496.8553191489362,1.0,0.9914893617021276
4,0,460.74,483.2260869565217,0.988,0.9869565217391304
5,0,613.4644351464435,566.1825726141079,0.9790794979079498,0.991701244813278
6,0,613.4754098360655,706.7118644067797,0.9959016393442623,1.0
7,1,505.81702127659577,534.4244897959184,1.0,0.9918367346938776
8,1,553.0905511811023,514.5777777777778,0.9921259842519685,0.9866666666666667
9,0,526.0126050420168,529.6041666666666,0.9621848739495799,0.9708333333333333
10,1,566.830985915493,540.0299625468165,0.9906103286384976,0.9887640449438202
11,0,629.953781512605,631.3347107438017,0.9915966386554622,0.9958677685950413
12,1,509.41634241245134,496.4843049327354,0.9961089494163424,0.9910313901345291
13,0,492.0164609053498,438.32489451476795,0.9917695473251029,0.9915611814345991
14,0,487.62948207171314,444.14410480349346,0.952191235059761,0.9694323144104804
15,0,494.23628691983123,471.06995884773664,0.9831223628691983,0.9958847736625515
16,0,479.1769547325103,479.21940928270044,0.9629629629629629,0.9746835443037974
17,0,437.9665271966527,393.04564315352695,0.99581589958159,0.991701244813278
18,0,643.6514522821577,657.717299578059,0.979253112033195,0.9746835443037974
19,1,555.1186440677966,523.6065573770492,0.9872881355932204,0.9672131147540983
20,0,593.0311284046693,592.9103139013453,0.9766536964980544,1.0
21,1,554.4524886877828,515.2277992277992,0.9864253393665159,0.9922779922779923
22,1,624.2640692640692,607.5582329317269,0.987012987012987,0.9919678714859438
23,1,558.1152416356878,556.4549763033175,0.9851301115241635,0.976303317535545
24,0,476.6666666666667,480.3536585365854,0.9871794871794872,0.9796747967479674
25,1,549.7719298245614,550.4007936507936,0.9912280701754386,0.9920634920634921
