,Subject,k,z0,z1,a/B
0,1.0,0.5040649471514289,-0.980268990366592,-0.9973451704553229,4.685521598327414
1,2.0,0.6927459714230073,-0.966804223971564,-0.9891509192447838,3.6315805621221813
2,3.0,0.4152278044680626,-0.9912108212911233,-0.9878658155650197,4.970901855029429
3,4.0,9.423797277920766,-1.0,-0.9684026840758251,1.6250000032219938
4,5.0,0.6277191496527799,-0.9990298729861783,-0.9998933753270227,3.8970739459641424
5,6.0,1.7333737388865522,-0.9971477802496196,-0.9871103357190406,2.118444082319292
6,7.0,5.023399809748075,-0.9992430054086814,-0.9955458248785447,1.4933550675665703
7,8.0,0.9921692057900966,-0.9997555375412697,-0.9988963889609747,3.1581046781007243
8,9.0,2.1626085343845607,-1.0,-0.9156346859071534,2.3400000359341453
9,10.0,1.0247782148134146,-0.9373567383052079,-0.9993928756783512,3.5369074169451067
10,11.0,0.6580338932942382,-0.9961542251606555,-0.9953711754761743,3.330069001819684
11,12.0,1.0303296558417392,-0.9976453099534167,-0.9920292449924206,3.568776440439156
12,13.0,2.4321347558326507,-0.9646539344818383,-0.9963724631720927,2.1808014518581342
13,14.0,2.470850794480048,-0.9914392983475819,-0.9891817670290437,2.03042169680367
14,15.0,1.5735123701120983,-0.9706456538081474,-0.9830439358971298,2.9006583269835127
15,16.0,5.254490472942841,-0.9824924850661737,-0.9777013632317973,1.5411507442171237
16,17.0,9.103771847602133,-0.9441547022189688,-0.9920676767623562,1.3443969328914553
17,18.0,0.5177489065843739,-0.9983174579331621,-0.9998502336452242,3.7213112114312503
18,19.0,2.276899882495706,-0.9933411443298585,-0.9981479244138416,1.9254441511910458
19,20.0,0.5673406230917611,-0.9896683471882183,-0.9766278523041845,3.9050000008721106
20,21.0,0.6068297673235934,-0.9332495824505671,-0.998161523324029,4.202110081713412
21,22.0,1.0620007307902684,-1.0,-1.0,3.0243017388770523
22,23.0,1.0928610164900325,-0.9704252187149689,-0.9666309445400858,3.1462744890758803
23,24.0,3.5212139721849525,-0.9823275964567477,-0.9943792963183069,1.8923562897580493
24,25.0,3.2557899293855233,-0.9943687725558729,-0.9928005780516893,1.5857731566279716
