;Parameters;k;z;a/B;x0;sz;nondectime;Bound;x0 (DDM);drift;nondectime (DDM);sz (DDM);sv (DDM)
25;b1;10.0;-0.5;5.0;-0.48641441294768917;0.9913248229909671;0.28708133414393194;0.2;0.5;1;0.3;0;0
27;b2;9.839987829824523;-0.5005724017801709;2.2093598131345207;-0.45901976484559215;0.9265470271234759;0.271782334669774;0.5;0.5;1;0.3;0;0
28;b3;2.0721183036917985;-0.6411681363465802;1.1047845931583589;-0.05866076351261473;0.8052582448016101;0.2368983273726393;2;0.5;1;0.3;0;0
13;b4;3.3765454867123497;-0.8747569726139074;0.480742464433622;0.09858893799208279;0.485075031925702;0.40023925313857556;3;0.5;1;0.3;0;0
20;b5;0.5545607179863445;-0.7795918333524461;0.8977564370504549;0.15340263574363644;0.27423206660740007;0.46930842958378177;5;0.5;1;0.3;0;0
9;no_var;9.907111279721963;-0.5009291638935347;0.9598305739912518;-0.1922446169330858;0.842186927142626;0.2336032431532935;1;0.5;1;0.3;0;0
2;st1;9.983782478417304;-0.9981990073947344;0.1399987598862502;0.1975233485316512;0.2997848977680128;0.31304187709686815;1;0.5;1;0.3;0;0
24;st2;9.983498008646103;-0.5010666464726422;0.9549207741518178;-0.3450138554584753;0.6891057942504486;0.18907942507141;1;0.5;1;0.3;0;0
21;st3;9.925563245333567;-0.5013042832623906;0.9449643144746309;-0.012687512458991912;0.9570956283930497;0.29238300753868884;1;0.5;1;0.3;0;0
5;st4;9.53505655396405;-0.7518195940072474;1.279999978927261;-0.6916522910662237;0.46582427891008943;0.15984532837004878;1;0.5;1;0.3;0;0
11;st5;10.0;-0.5;0.8470714882842723;0.0004072181223604421;0.9586872304589271;0.24919565787548154;1;0.5;1;0.3;0;0
18;sv2;2.761527425394074;-0.952237625986429;4.9949999568680505;-0.943503726755956;0.3144602735123246;0.19834001950479313;1;0.5;1;0.3;0;0.02
4;sv3;3.1194032225670933;-0.9496588410831023;4.994999938860605;-0.9434249010121935;0.2593987258735865;0.19810578861712652;1;0.5;1;0.3;0;0.05
22;sv4;9.988367854116264;-0.9954138230301434;0.15493457120858878;0.14740155430576452;0.6887899541742118;0.32339037326635744;1;0.5;1;0.3;0;0.1
6;sv5;2.702694450796685;-0.9540215099845952;4.979518334030304;-0.9409324221307485;0.4608597655245063;0.21806016614204898;1;0.5;1;0.3;0;0.2
0;sz1;9.779082774430963;-0.7428684312310583;1.1784875095877343;-0.6445700559426601;0.5814442204282301;0.17196935443430478;1;0.5;1;0.3;0.01;0
8;sz2;2.4890553577385437;-0.9483826388224814;4.984990819371226;-0.9351096435028854;0.5124403389974268;0.20572352103613445;1;0.5;1;0.3;0.05;0
26;sz3;9.994843686401767;-0.5004555604848484;0.9649981777569874;-0.07333261089814458;0.9201989836051019;0.26647839591016587;1;0.5;1;0.3;0.1;0
7;sz4;2.514940436960019;-0.9475646539054552;4.939853930096218;-0.939042142957448;0.3878357826498285;0.18484605522621467;1;0.5;1;0.3;0.2;0
16;sz5;9.975435485359418;-0.981413027033611;0.139318278450276;0.12676317892437372;0.3326156417852333;0.30104514405626714;1;0.5;1;0.3;0.4;0
12;v1;0.27980025564882727;-0.6484810696391012;0.14105554546484234;0.021371794902159236;0.40972263532611686;0.3132563728956227;1;0.5;0;0.3;0;0
27;v2;9.313203837301144;-0.5208053864188884;1.0648370074821245;-0.4893777913929239;0.4530730788910799;0.1295252906588144;1;0.5;0.2;0.3;0;0
29;v3;3.552010938677869;-0.9450918123063474;4.740714901277636;-0.9428037684452901;0.22577742407355283;0.20165911881436044;1;0.5;0.5;0.3;0;0
28;v4;9.93584810524056;-0.9707538835007623;0.14980614338340548;0.10538171837797528;0.1845463919786019;0.30075490732901417;1;0.5;0.7;0.3;0;0
29;v5;3.077282415990861;-0.9516644984991972;3.9949999865246326;-0.9106083168078587;0.5585865993663932;0.22870378717920284;1;0.5;2;0.3;0;0
30;z1;9.352445951429122;-0.847189778693888;0.137030139695276;-0.7619806531234212;0.04106923587929745;0.2997454593754454;1;0.1;1;0.3;0;0
19;z2;5.9258056643100865;-0.9691087379362451;4.960969068981324;-0.9769039175090142;0.9519201154180581;0.30130282402442776;1;0.2;1;0.3;0;0
23;z3;9.944776742671234;-0.98656309047311;0.1399713221505876;-0.09890639077398933;0.5366924741186647;0.3167414106889166;1;0.4;1;0.3;0;0
14;z4;9.231767112954577;-0.9826694773410634;0.14499998486464044;0.43073117297119135;0.05276923356885954;0.3117600563159071;1;0.6;1;0.3;0;0
10;z5;2.757505408383818;-0.959964811996393;4.83880693289939;-0.8629477290322158;0.8398493672089556;0.24897480784856527;1;0.8;1;0.3;0;0
