,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
0,1.0,5.0,0.0,0.0,0.0,0.01,0.30229232955265495,-0.02319190721431652,0.04443666684653569
1,1.0,5.0,0.0,0.0,0.010101010101010102,0.04032836757101152,0.30082937241135177,-0.043961649649055023,0.009912338872974269
2,1.0,5.0,0.0,0.0,0.020202020202020204,0.018658091373462735,0.299574390581272,-0.012900875012964219,0.012844357789188798
3,1.0,5.0,0.0,0.0,0.030303030303030304,0.01,0.3030597076638699,-0.017012472992426808,0.009656789769816987
4,1.0,5.0,0.0,0.0,0.04040404040404041,0.01,0.2990967187737841,0.0029746207685996673,0.009525886973311248
5,1.0,5.0,0.0,0.0,0.05050505050505051,0.01,0.303788931883922,-0.027966511369904468,0.004826018647199781
6,1.0,5.0,0.0,0.0,0.06060606060606061,0.01,0.2980409343268633,-0.035405973199813534,0.0029467780762708617
7,1.0,5.0,0.0,0.0,0.07070707070707072,0.01,0.3038642346790237,-0.013796163475157108,0.01948973123162201
8,1.0,5.0,0.0,0.0,0.08080808080808081,0.01,0.2943381951549533,-0.03920355103606077,0.043557970157203085
9,1.0,5.0,0.0,0.0,0.09090909090909091,0.016567408411441775,0.2978896160381872,-0.032608870969580095,0.013202775699374003
10,1.0,5.0,0.0,0.0,0.10101010101010102,0.03067106959863405,0.29153495559220044,-0.06119418663855236,-0.0023622316494098516
11,1.0,5.0,0.0,0.0,0.11111111111111112,0.01,0.2959665478518314,0.0010247652733519352,0.002102104445919739
12,1.0,5.0,0.0,0.0,0.12121212121212122,0.02284484014993693,0.29061678850671324,-0.03052540185757091,0.006720488279319037
13,1.0,5.0,0.0,0.0,0.13131313131313133,0.010001440114346671,0.28628629178851117,-0.004991526046363326,-0.00011946660700556944
14,1.0,5.0,0.0,0.0,0.14141414141414144,0.01,0.29199625846366395,-0.017806034967788653,0.03242327345893048
15,1.0,5.0,0.0,0.0,0.15151515151515152,0.029587418793946954,0.28557507811294514,-0.06839615694310419,0.010266099360802805
16,1.0,5.0,0.0,0.0,0.16161616161616163,0.027937523553050167,0.2867275888351051,-0.0170200641212801,0.010471693038506924
