,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
0,1.0,5.0,0.0,-1.0,0.0,2.140422398333427,3.2277707326349434,0.42607734136300923,0.0020798357000204604
1,1.0,5.0,0.0,-0.9797979797979798,0.0,0.01,0.2653219617002138,-0.9356484898027688,0.027008281206422957
2,1.0,5.0,0.0,-0.9595959595959596,0.0,0.01,0.2488407283054963,-0.8604928635817576,0.07334348235535693
3,1.0,5.0,0.0,-0.9393939393939394,0.0,0.01,0.5942737251358041,-0.9145987610734315,-0.01717028975989543
4,1.0,5.0,0.0,-0.9191919191919192,0.0,0.01,0.7497580344610268,-0.9119900414754658,0.07141482474968752
5,1.0,5.0,0.0,-0.898989898989899,0.0,0.01,0.5346981822842078,-0.8575543592209067,0.023298906265742048
6,1.0,5.0,0.0,-0.8787878787878788,0.0,0.01,6.894960067642294,-0.9874005203254973,-0.003587026906763491
7,1.0,5.0,0.0,-0.8585858585858586,0.0,0.01,6.522111143135334,-0.9853439979534762,-0.0015364001289801532
8,1.0,5.0,0.0,-0.8383838383838383,0.0,0.01,6.0259943009339505,-0.9837688531521395,-0.0026746541121539513
9,1.0,5.0,0.0,-0.8181818181818181,0.0,0.01,1.2129074891890372,-0.9094947032959956,-0.004278717228141327
10,1.0,5.0,0.0,-0.797979797979798,0.0,0.01,0.5321985230304334,-0.783830022967602,0.005076792868438096
11,1.0,5.0,0.0,-0.7777777777777778,0.0,0.01,0.8948105191472644,-0.8694114608232681,0.00664622114563751
12,1.0,5.0,0.0,-0.7575757575757576,0.0,0.010003027254243513,2.8468833876285533,-0.9567455144875896,0.00796856145842284
13,1.0,5.0,0.0,-0.7373737373737373,0.0,0.010005142235979037,1.5423092377883538,-0.9172456173599302,0.006127492045444161
14,1.0,5.0,0.0,-0.7171717171717171,0.0,0.010001367758187385,0.439902299274344,-0.698672990585727,-0.0018873787502218242
15,1.0,5.0,0.0,-0.696969696969697,0.0,0.01,3.0101771450584214,-0.9542930317664368,-0.0023202990399739942
16,1.0,5.0,0.0,-0.6767676767676767,0.0,0.01,0.9646874124989582,-0.8534427393412914,-0.003284816896591325
17,1.0,5.0,0.0,-0.6565656565656566,0.0,0.01,0.777022631875167,-0.8194305545242245,0.007021090065321145
18,1.0,5.0,0.0,-0.6363636363636364,0.0,0.010004514876523984,0.946390588335217,-0.8439363347119067,0.015769145140041463
19,1.0,5.0,0.0,-0.6161616161616161,0.0,0.010002001973347774,2.095909962685826,-0.9281431414307564,0.00833547251207567
20,1.0,5.0,0.0,-0.5959595959595959,0.0,0.010005880779816678,1.5914007403042563,-0.9036898690449273,-0.0031442538096564387
21,1.0,5.0,0.0,-0.5757575757575757,0.0,0.01,0.5359630865363636,-0.705343314874227,0.002422329197024453
