,Subject,LogLoss (nlDDM),LogLoss (DDM),LogLoss (OU),LogLoss (DWM),BIC (nlDDM),BIC (DDM),BIC (OU),BIC (DWM),Perf (nlDDM),Perf (DDM),Perf (OU),Perf (DWM)
0,1.0,-506.9275828921668,-507.7573302494864,-503.5630113907081,-509.6923113380839,-958.2910908492162,-966.1243716677574,-951.5619478462987,-957.6467616371485,7.428650733944063e-05,9.280181341875303e-05,9.331173402331598e-05,9.826716947485566e-05
1,2.0,-385.7430964088223,-385.6297144907671,-380.5747898630947,-407.23257628790196,-715.9221178825271,-721.8691401503188,-705.5855047910719,-752.7272915367846,0.00012320640331798125,4.153096081560573e-05,5.225298039645483e-05,0.00019447088026280942
2,3.0,-591.6056392672343,-593.5562804569875,-581.7355735597896,-592.5923460964685,-1127.6472035993513,-1137.7222720827594,-1107.9070721844619,-1123.4468311539176,0.0001091747983587675,0.00014211996209074267,0.00014886013505822058,0.0001173775119344702
3,4.0,-723.3628539651445,-715.6254803892789,-733.4953539475927,-712.3129353017517,-1391.1616329951717,-1381.8606719473423,-1411.426632960068,-1362.888009564484,6.406398480542236e-05,6.176156436863483e-05,0.0002530830906743361,7.44937849019938e-05
4,5.0,-405.7109082301854,-404.47626119586647,-391.55089925799416,-409.2612434583647,-755.8577415252533,-759.5622335605175,-727.5377235808709,-756.78462587771,0.00018108804257529375,0.0007458177771224653,0.00022741392126234605,0.000842218777575757
5,6.0,-315.35856785829924,-314.89152913544945,-314.84679073951355,-314.477854358871,-575.153060781481,-580.3927694396834,-574.1295065439097,-567.2178476787227,8.954577797686518e-05,0.00013483714404820255,0.00010182432140350345,0.00010039197311149421
6,7.0,-482.2231722752333,-445.1035383802133,-483.1093252740199,-479.4722631038346,-908.8822696153492,-840.8167879292112,-910.6545756129224,-897.2066651686499,0.00022511322479307167,0.00022150949411219275,0.0004027652645702059,0.0001265510101524013
7,8.0,-431.35136357787417,-430.6955237993018,-430.53095113164613,-431.8663821481536,-807.1574217790501,-812.0174428193162,-805.516596886594,-802.015758322198,0.0001332038397075642,6.369934687532638e-05,6.732127531380793e-05,7.866876803233272e-05
8,9.0,-342.33971120746475,-345.34531705592786,-361.3434413234286,-361.91904314463096,-629.1717739969345,-641.350502184749,-667.1792342288621,-662.1629213803785,0.0002727980926289799,0.00019085191346536739,0.0015569732696637689,0.0012373202502877975
9,10.0,-528.378268667398,-539.8372415729717,-521.1591741481366,-528.3063099238619,-1001.1924623996784,-1030.284194314728,-986.7542733611557,-994.8747588087045,0.00010642961639830438,0.00020022824227502203,6.749982986043907e-05,8.322449582864855e-05
10,11.0,-320.7638954777868,-319.5881733214163,-320.98571443700405,-321.49230686414654,-585.9637160204561,-589.7860578116172,-586.4073539388907,-581.2467526892738,0.0001842136020724889,0.00015200076480706328,0.00038362682285362235,0.0003136036645776262
11,12.0,-604.3335934452148,-538.3468929098316,-595.423982744168,-618.9658120260024,-1153.1031119553122,-1027.3034969884477,-1135.2838905532187,-1176.1937630129853,8.27507275375017e-05,6.550425097431639e-05,5.2546117316230794e-05,7.581887939213204e-05
12,13.0,-502.6326657447242,-492.6740177941302,-496.7194808593785,-498.5641041042735,-949.7012565543309,-935.9577467570449,-937.8748867836396,-935.3903471695277,7.804491761696466e-05,6.792931353791248e-05,0.00018796462532247822,0.00019126364901355086
13,14.0,-400.53942116113154,-387.2742922849051,-430.72931431375247,-385.7716965383656,-745.5147673871456,-725.1582957385947,-805.8945536923875,-709.8055320377118,0.0006630875751820889,0.0006848439618882467,0.0013942871911963232,0.0006985002963527687
14,15.0,-578.2830227495443,-577.0652711371631,-577.4613278796181,-577.2741065460821,-1101.0019705639713,-1104.7402534431108,-1099.358580824119,-1092.8103520531447,0.00017921792109394695,0.00014556314882608327,0.00015976799353465616,0.000199055670736242
