Subject,LogLoss (nlDDM),LogLoss (DDM),"BIC (nlDDM, bounded SP)",BIC (DDM),Perf (nlDDM),Perf (DDM)
1.0,-274.13579172824745,-948.0833716610796,-465.1106983412548,-1813.005858206919,0.0,0.0
3.0,-459.2862564127213,-364.4058429914884,-835.4116277102024,-645.6508008677366,0.0,0.0
4.0,-1395.365916455713,-1390.4257033507508,-2707.576678455341,-2697.696252245417,0.0,0.0
5.0,-1483.489047681288,-1241.7883995902357,-2883.817210247336,-2400.4159140652314,0.0,0.0
6.0,-540.5411925029268,-250.9308608005032,-997.9387008323516,-418.7180374275043,0.0,0.0
7.0,-177.36813597045995,45.70311160390297,-271.6040700231577,174.53842512556815,0.0,0.0
8.0,919.5567399717766,1057.9742089890526,1921.9073731184328,2198.742311152985,0.0,0.0
9.0,-545.6368939345272,-420.4860646392892,-1008.1645864824112,-757.8629278919354,0.0,0.0
10.0,-905.6125224910096,-848.8640593179266,-1728.064159866779,-1614.5672335206132,0.0,0.0
11.0,-914.0611615326808,-913.3239590256436,-1744.9671686092763,-1743.4927635952026,0.0,0.0
12.0,857.3345148206603,245.1770420580941,1797.7954859334625,573.4805404083301,0.0,0.0
13.0,77.14143937406382,198.2687413765437,237.25888556188755,479.5134895668473,0.0,0.0
14.0,-27.818886116361284,89.049905150342,27.390546436562587,261.1281289699692,0.0,0.0
15.0,-184.23759835932384,-141.4240542745074,-285.3315125451456,-199.7044243755127,0.0,0.0
16.0,235.23401802010017,379.579455552456,553.5484189665559,842.2392940312676,0.0,0.0
17.0,-661.6613829264307,-496.0602915616562,-1240.1676113967767,-908.9654286672276,0.0,0.0
