Subject,LogLoss (nlDDM),LogLoss (DDM),"BIC (nlDDM, bounded SP)",BIC (DDM),Perf (nlDDM),Perf (DDM)
1.0,-272.8649754653117,-947.8683860158368,-470.1291462804052,-1820.1359673814552,0.0,0.0
3.0,-256.7251592946831,-301.4098890584324,-437.849513939148,-527.2189734666465,0.0,0.0
4.0,-411.1619345637827,-1370.8074884659036,-746.7282741674885,-2666.01938197173,0.0,0.0
5.0,-89.79434119001576,-1170.328875830942,-103.98787772981323,-2265.0569470116657,0.0,0.0
6.0,629.2945660824524,-54.83242132238895,1334.1742995953614,-34.079675214321455,0.0,0.0
7.0,670.173995739069,227.22436422632467,1415.9227204942856,530.0234574687968,0.0,0.0
8.0,1215.7330862908798,1144.6230316807123,2506.7333481952865,2364.5132389749515,0.0,0.0
9.0,-175.0638539824165,-414.2260554712717,-274.57388852243025,-752.8982915001407,0.0,0.0
10.0,151.57371664649745,-795.5934480430797,378.7482379432132,-1515.586091435941,0.0,0.0
11.0,-68.82365390988794,-845.5452092074457,-62.05171285969888,-1615.4948234548144,0.0,0.0
12.0,866.2634444530872,334.43922532269795,1808.0963946263037,744.4479563655249,0.0,0.0
13.0,743.1710006732385,214.51953888247223,1561.7747348135315,504.47181123199897,0.0,0.0
14.0,218.0600287762854,100.6964674050447,511.600347251921,276.8732245094395,0.0,0.0
15.0,777.2340381493564,-50.41565602598634,1630.0532437291693,-25.246144621516223,0.0,0.0
16.0,979.0629623730345,521.2441737465515,2033.65354558821,1118.0159683352445,0.0,0.0
17.0,-460.2975651308545,-406.1997023963344,-844.999535301632,-736.8038098325919,0.0,0.0
