Subject,LogLoss (nlDDM),LogLoss (DDM),"BIC (nlDDM, bounded SP)",BIC (DDM),Perf (nlDDM),Perf (DDM)
1.0,-1048.3696709198389,-944.910516114273,-2013.5784567244373,-1806.660147113306,0.0,0.0
3.0,-499.0484595115352,-365.2659456600873,-914.9360339078302,-647.3710062049345,0.0,0.0
4.0,-1383.5962159849832,-1395.122708720826,-2684.0372775138817,-2707.0902629855677,0.0,0.0
5.0,-1444.0116656504194,-1240.1628437779032,-2804.862446185599,-2397.1648024405663,0.0,0.0
6.0,-499.2261231980051,-251.5074677124309,-915.308562222508,-419.8712512513597,0.0,0.0
7.0,-160.3553861726313,45.69634123178557,-237.57857042750044,174.52488438133332,0.0,0.0
8.0,956.4762938275176,1056.0930101333456,1995.7464808299144,2194.979913441571,0.0,0.0
9.0,-504.5186629996724,-420.5633998458961,-925.9281246127018,-758.0175983051491,0.0,0.0
10.0,-859.9249722698898,-848.5625709764331,-1636.6890594245397,-1613.9642568376262,0.0,0.0
11.0,-925.469922337445,-912.4671128458642,-1767.7846902188053,-1741.7790712356436,0.0,0.0
12.0,736.5710392669728,244.8856136193346,1556.2685348260875,572.8976835308112,0.0,0.0
13.0,93.6774413985016,199.20493688386105,270.3308896107631,481.385880581482,0.0,0.0
14.0,425.39616734005386,89.14920052098338,933.8206533493928,261.32671971125194,0.0,0.0
15.0,-148.74450911742693,-141.64227528520615,-214.34533406135176,-200.1408663969102,0.0,0.0
16.0,270.69291447426394,381.5032589345005,624.4662118748835,846.0869007953567,0.0,0.0
17.0,-627.0113328242344,-495.4525874618544,-1170.867511192384,-907.7500204676242,0.0,0.0
