Subject,LogLoss (nlDDM),LogLoss (DDM),"BIC (nlDDM, bounded SP)",BIC (DDM),Perf (nlDDM),Perf (DDM)
1.0,-413.49752340194345,-1023.147373906197,-743.8341616886468,-1963.133862697154,0.0,0.0
3.0,-364.63149649657447,-488.91539846498864,-646.1021078779088,-894.6699118147371,0.0,0.0
4.0,-623.1159624497509,-1404.8840818519243,-1163.076770443417,-2726.613009247764,0.0,0.0
5.0,-1300.5663319085693,-1270.1683546187166,-2517.9717787018985,-2457.1758241221933,0.0,0.0
6.0,-181.93084935948707,-393.5923336355315,-280.71801454547204,-704.0409830975609,0.0,0.0
7.0,465.88579036990257,-11.663122990215603,1014.9037826575674,59.80595593733099,0.0,0.0
8.0,1016.9756881940624,931.647550277078,2116.7452695630045,1946.088993729036,0.0,0.0
9.0,-58.35031339920934,-578.4756765011856,-33.591425411775674,-1073.8421516157282,0.0,0.0
10.0,-522.4633727688524,-856.3281636790387,-961.7658604224648,-1629.4954422428373,0.0,0.0
11.0,-324.222778959844,-930.0646713191315,-565.2904034636033,-1776.9741881821783,0.0,0.0
12.0,498.4732693339889,45.07348830209924,1080.0729949601198,173.27343289634035,0.0,0.0
13.0,472.0255708333942,85.24427715551374,1027.0271484805485,253.4645611247874,0.0,0.0
14.0,56.75557624647472,-91.06768609006976,196.53947116223455,-99.10705351085436,0.0,0.0
15.0,82.97321266104404,-165.14847306887094,249.09010949559016,-247.1532619642398,0.0,0.0
16.0,455.33745321205794,349.4267355611585,993.7552893504716,781.9338540486726,0.0,0.0
17.0,-527.4138885856325,-614.1997540749724,-971.6726227151804,-1145.24435369386,0.0,0.0
