Subject,LogLoss (nlDDM),LogLoss (DDM),"BIC (nlDDM, bounded SP)",BIC (DDM),Perf (nlDDM),Perf (DDM)
1.0,-690.8803019081175,-1042.392238781059,-1268.3593968409075,-1948.703029191725,0.0,0.0
3.0,-353.9262269087211,-584.5826650596528,-594.4512468421148,-1033.0838817489123,0.0,0.0
4.0,-1203.3464973901546,-1478.9264561556777,-2293.299602340194,-2821.7808413832167,0.0,0.0
5.0,-1298.6752527204494,-1361.2286114645674,-2483.9492984655712,-2586.375774558742,0.0,0.0
6.0,-301.8634448694607,-582.5374295125673,-490.3491385932367,-1029.021557650313,0.0,0.0
7.0,152.95497227106574,-226.7184816593033,419.2720380663527,-317.4024510895412,0.0,0.0
8.0,895.1788916475169,728.6042780608135,1903.2585467153244,1592.6894722259758,0.0,0.0
9.0,-279.3504078447553,-618.0072498152028,-445.3700865259066,-1100.017624634081,1.4534449974387902,0.3129819467877803
10.0,-631.9402218966272,-966.7567617112456,-1150.4792368179271,-1797.4320750520983,0.0,0.0
11.0,-576.3720339071559,-1029.6027078146792,-1039.3506753741965,-1923.13334470122,0.0,0.0
12.0,228.02828092759916,-101.0921633327122,569.4108204353918,-66.1592163691922,0.0,0.0
13.0,284.20023791769745,1.3111844528866392,681.5495760359765,138.4012891464713,0.0,0.0
14.0,120.581762288975,-184.1778219930293,354.3839591269752,-232.4911225272284,0.0,0.0
15.0,-61.841721665309535,-356.12363829742844,-10.3056921849344,-576.1939752200353,0.0,0.0
16.0,543.7121050903803,145.4378807675935,1200.7156414439728,426.8254790510416,0.0,0.0
17.0,-513.9261387649383,-684.6970001474006,-914.4588850897612,-1233.3219293666623,0.0,0.0
