Dataset,Subject,correct mean RT (empirical),correct mean RT (nlDDM),correct mean RT (DDM),error mean RT (empirical),error mean RT (nlDDM),error mean RT (DDM),Error rate (empirical),Error rate (nlDDM),Error rate (DDM),LogLoss (nlDDM),LogLoss (DDM),BIC (nlDDM),BIC (DDM),Performance Loss (nlDDM),Performance Loss (DDM)
Wagenmakers (accuracy),1,0.5834440715883669,0.5677511118223222,0.5915364192499701,0.6877727272727272,0.6909909690841652,0.6765945199490023,0.06875,0.061805075573823615,0.06862331122720595,-420.3673710969316,-447.4821479209033,-778.9323426337063,-826.2949629971878,0.008748235527266203,0.0029412255085338943
Wagenmakers (accuracy),2,0.8217908847184987,0.797615505109904,0.8193051041016978,0.8092,0.9781125733540043,0.9347621718032038,0.02610966057441253,0.03801827405119855,0.026983540422565833,15.012914662582519,-24.855585770262195,83.55814422779085,9.769178351282065,0.004000562351708225,0.007601104220351133
Wagenmakers (accuracy),3,0.7638976293103449,0.7433147246979979,0.7594020848051561,0.8654375000000001,0.9235095315873662,0.8120134862631634,0.03333333333333333,0.03623531213810179,0.03257671107039003,46.6191662200906,44.44023669444534,155.04073200033812,157.5498062335095,0.0034244214444839865,0.0032407642822336203
Wagenmakers (accuracy),4,0.5772790948275861,0.5693887472545335,0.5811744036767712,0.6641612903225806,0.7150201164296202,0.6108134350478205,0.03232533889468196,0.038301646097238004,0.03647896089353736,-502.814791754467,-484.00953534294337,-943.836563834983,-899.3601599370523,0.0010777208238088416,0.0021599197434275354
Wagenmakers (accuracy),5,0.650588108108108,0.6472724418180711,0.6497403191350898,0.8376571428571429,0.8415468842498339,0.7485580675262368,0.036458333333333336,0.03490860261185643,0.03302162228806804,-527.2406074942253,-515.7364320788096,-992.6788154282937,-962.8035313130003,0.0012438959405293598,0.0016015276697679472
Wagenmakers (accuracy),6,0.6292533482142858,0.6193525383557941,0.6341706744717516,0.7455967741935484,0.730818871834105,0.6883446324347847,0.06471816283924843,0.05690871098796002,0.0677859905239072,-288.0166809205967,-318.2053114415772,-514.2497318394556,-567.7621451034457,0.0030716914579430534,0.0021199990418182867
Wagenmakers (accuracy),7,0.6120862275449103,0.6206043029954533,0.6444236073475779,0.6287822580645163,0.7789575156630777,0.6195131484369667,0.12930135557872785,0.11465049389569384,0.12238624334431703,-26.31966726074136,-28.66622165291939,9.15368515246822,11.326467442995607,0.005364574356902,0.01463825265050554
Wagenmakers (accuracy),8,1.037311814859927,1.0014599825384127,1.0381342418874875,1.1195943396226415,1.2965455221699693,1.0248339359988046,0.11434735706580366,0.12320512737455741,0.11036298518990917,703.5697916867274,705.0626798365513,1468.6271654635475,1478.444895328761,0.01617665137033805,0.025989079585332538
Wagenmakers (accuracy),9,0.786329658213892,0.7585668932099128,0.7766375045877622,0.9553260869565218,0.9966037156554246,1.0146205247925595,0.048268625393494226,0.05601110668475068,0.05196047843337738,94.23207307322352,48.524747585264194,250.20068027933485,165.6456442070704,0.005751777596191168,0.0031640982629475324
Wagenmakers (accuracy),10,0.6161971982758621,0.6046233201733718,0.6376190610030559,0.64584375,0.8039235001002686,0.76001282342958,0.03333333333333333,0.0460136483979539,0.03791720914689856,-462.7767150118845,-391.74229633706614,-863.7510304636121,-714.8152598295135,0.006713044253737952,0.006555581845206645
Wagenmakers (accuracy),11,0.61479375696767,0.6063172546912564,0.6153588152107253,0.7231587301587301,0.7111069414571353,0.6318413565955575,0.065625,0.06336952363493348,0.0633337740602906,-454.30492538899745,-451.5486322446818,-846.807451217838,-834.4279316447448,0.0034459126370069548,0.0027882812251603423
Wagenmakers (accuracy),12,0.7153732227488153,0.6973346517292832,0.7146832929812597,0.7728454545454546,0.8449515965296327,0.7050827252768708,0.11530398322851153,0.11145312418852968,0.11853257854412112,224.70668942862073,232.19423705066873,511.1593519002761,532.9951108158203,0.010680317433260506,0.0021909363527421602
Wagenmakers (accuracy),13,0.8076785290628706,0.7549633562361417,0.7939900665262296,0.8146022727272727,0.948892142907038,0.8782267061187511,0.09452201933404941,0.08233416544838701,0.09946705775020181,267.56384260289843,277.6070122229071,596.6540187012905,623.5766172185848,0.018719591803313954,0.0028825271859341554
Wagenmakers (accuracy),14,0.86224,0.7986670242142153,0.8359076921211388,1.2945405405405404,1.310576849854254,1.2410833361764784,0.03948772678762007,0.0432597283277039,0.04698521630412077,329.30815185898297,308.061557683272,720.2004532581118,684.5499481889282,0.040141494878796306,0.018594640541109
