,Subject,"LogLoss (nlDDM, bounded SP)","LogLoss (nlDDM, uniform SP, Tnd from data)","LogLoss (nlDDM, mixture)",LogLoss (DDM),"LogLoss (DDM, Tnd from data)",LogLoss (OU),LogLoss (DWM),"BIC (nlDDM, bounded SP)","BIC (nlDDM, uniform SP, Tnd from data)","BIC (nlDDM, mixture)",BIC (DDM),"BIC (DDM, Tnd from data)",BIC (OU),BIC (DWM),"Perf (nlDDM, bounded SP)","Perf (nlDDM, uniform SP, Tnd from data)","Perf (nlDDM, mixture)",Perf (DDM),"Perf (DDM, Tnd from data)",Perf (OU),Perf (DWM)
0,1.0,-468.4905433705444,-423.5928910949126,-503.6548694153366,-500.9764283393605,-492.33504200408487,-491.29532903744405,-500.08795169129445,-893.7645840137752,-822.4906377742175,-957.9194499994577,-952.5625678475055,-953.80115348866,-939.3741553475745,-950.7856145513734,0.0001117089221596429,0.002440506234718567,0.00010135633035119706,0.00011374839736822141,0.00016278596378717852,0.00010818567238291662,0.0001163142472684908
1,2.0,-380.7537289492456,-318.75682372308273,-383.03500328530066,-385.3677435492851,-379.32181014545705,-375.92775621580114,-389.4749358633949,-718.2909551711776,-612.8185030305577,-716.6797177393859,-721.3451982673547,-727.7746897714044,-708.6390097042887,-729.5595828955743,0.0002989864825931961,0.0018120109786879447,0.00012452430114372618,0.0001802324896092885,0.0001426102176918259,0.00013528362574418977,0.00014894186589320906
2,3.0,-554.6499819470237,-534.5710732651601,-545.4867864392595,-548.9169407714038,-548.5493879110174,-575.9916537382073,-577.8645160966532,-1066.0834611667337,-1044.4470021147124,-1041.5832840473036,-1048.4435927115921,-1066.2298453025253,-1108.766804749101,-1106.338743362091,0.00014193533958605935,0.0034009432401917758,0.00011064886943803502,0.00013665325764815502,0.00013573970687515887,0.00015270941427407303,0.000155382596641422
3,4.0,-700.3647181151574,-617.9853223243928,-706.5658632310846,-731.3871349651537,-685.1576194932218,-733.6861999066319,-731.54125792441,-1357.5129335030012,-1211.2755002331778,-1363.7414376309537,-1413.383981099092,-1339.446308466934,-1424.1558970859503,-1413.6922270176046,0.0008625069945981806,0.001183699779889201,6.995740698560385e-05,0.0001646577851487331,0.00019246747327362793,0.00017230684095538164,0.00020416282707253272
4,5.0,-385.7306411306976,-375.5452645119011,-383.0325704550076,-383.20448970513837,-371.7889539879102,-383.8964586021,-384.88645459021967,-728.2447795340817,-726.3953846081945,-716.6748520787997,-717.0186905790613,-712.7089774563107,-724.5764144768864,-720.3826203492239,0.0004246545662097118,0.0029608435569423775,0.0003425125867149987,0.0002890512842067686,0.0004057600038168121,0.00041448282741426724,0.00038834617232600955
5,6.0,-315.2258011306311,-262.2686665087252,-315.0588861965168,-318.22680285414447,-310.5122766307175,-302.1083732793951,-318.9503972258266,-587.2350995339486,-499.8421886018426,-580.7274835618182,-587.0633168770735,-590.1556227419253,-561.0002438314766,-588.5105056204377,0.00010037084719201132,0.006910873989401916,0.00027213091250490674,9.554434074364237e-05,0.0003213808612364204,0.0001340949605877893,0.00010847940072436114
6,7.0,-476.1843643002409,-451.02238944070314,-480.76840880493023,-484.48568710323434,-478.08854586350157,-477.0332744550468,-484.4862732049809,-909.1522258731682,-877.3496344657985,-912.146528778645,-919.5810853752532,-925.3081612074934,-910.85004618278,-919.5822575787463,0.00026805946117793245,0.003395405382796213,0.000159363689533316,0.0001734925726581548,0.0002454978698846654,0.0001975114105849177,0.00020041245846008112
7,8.0,-413.9978329983419,-352.40413815702703,-425.8492696145252,-380.81402814292835,-371.35931417560107,-375.56387116271515,-387.0101435425272,-784.7937618148073,-680.1214739244105,-802.3249344497631,-712.2544515065694,-711.8601253641476,-707.9258381435538,-724.6466823057671,0.00013150737571597493,0.0024541514614302724,2.2487493955835297e-05,0.0003790812279456943,0.0008385726307506545,6.888238455156452e-05,8.42687797062456e-05
8,9.0,-363.27212140101085,-315.09304339617785,-341.14774649183215,-294.48031211415815,-289.40074783339884,-312.94557814118525,-302.2992294778079,-683.3716273658033,-605.5160208288023,-632.9553610565575,-539.6204923012095,-547.9639132123559,-582.7185408461521,-555.258327028509,0.00012086983983653133,0.0001299016533486855,0.00047860436263842297,0.0013575362796147336,0.0012436569917974732,0.00010746776039582539,0.00028947749888423406
9,10.0,-518.1320702199239,-501.02036905546214,-528.4716742623792,-494.7951205790683,-489.67183970634085,-518.0963510691774,-487.97689991483423,-993.0476377125342,-977.3455936953166,-1007.553059693543,-940.1999523269211,-948.474748893172,-992.9761994110413,-926.563510998453,9.912889353894339e-05,0.0014616988407792097,0.00014824455265070302,8.454963704769672e-05,7.524005229026332e-05,7.399320041277857e-05,6.786841910319161e-05
10,11.0,-304.33332620247694,-236.3317098996578,-323.12371419863365,-265.25770507214077,-248.97293295712032,-300.68475863933753,-308.139930027054,-565.4501496776403,-447.96827538370786,-596.8571395660518,-481.125121313066,-467.076935394731,-558.1530145513615,-566.8895712228925,0.00013574003375938068,0.0037956552588869884,0.00017006715667530612,0.0001544415911286944,0.00014394710506939235,6.510370101891093e-05,7.594201958963669e-05
11,12.0,-577.3781100641278,-541.7406065959817,-619.8666955384198,-575.4617061894801,-561.4030698627736,-605.4852257063549,-609.0767449129343,-1111.539717400942,-1058.7860687763557,-1190.343102245624,-1101.5331235477447,-1091.9372092060376,-1167.7539486853962,-1168.763200994653,0.00010142291418124173,0.0018133059745004802,0.00010869351652275486,2.778935505662751e-05,9.708740203074766e-05,9.778115027351452e-05,9.331120925915883e-05
12,13.0,-489.65726066891926,-411.58022314454604,-502.5614937384872,-495.5226398682734,-487.90918091617345,-494.61708647720303,-500.2333592029063,-936.098018610525,-798.4653018734843,-955.7326986457589,-941.6549909053314,-944.9494313128372,-946.0176702270925,-951.0764295745971,0.00018939744664528603,0.0028166345499073984,7.792060936161963e-05,0.0001321970266454954,0.00014646392780061972,0.00024595640520698014,0.0001440472673128442
13,14.0,-380.8808892543797,-374.2762021746605,-380.3518160033563,-384.4208433304336,-377.6948475794873,-371.2617441767919,-388.7161138663853,-718.5452757814459,-723.8572599337133,-711.3133431754972,-719.4513978296518,-724.5207646394649,-699.3069856262703,-728.0419389015551,0.0015330007704236475,0.001978489613823003,0.0008242483593980254,0.0011320563236301446,0.0010910093283011343,0.0025151588338283956,0.002216946629231834
14,15.0,-534.078963763181,-504.6577133730236,-559.0427674101636,-565.2354439173602,-554.8561290063429,-547.1894634404825,-558.8131784188664,-1024.9414247990485,-984.6202823304395,-1068.6952459891118,-1081.0805990035049,-1078.8433274931763,-1051.1624241536515,-1068.2360680065174,0.00028903263542087417,0.0016125268370571818,0.00011000384956370678,0.00024257386167651963,0.0002676913135374492,0.00034282564482447035,0.000311301541836661
15,16.0,-457.56930308553916,-436.3019947917674,-481.8927621194123,-493.32282162632976,-492.4338409111931,-476.4554075066083,-498.1975633757145,-871.9221034437647,-847.9088451679271,-914.3952354076091,-937.255354421444,-953.9987513028765,-909.694312285903,-947.0048379202135,0.0003218977336231639,0.0006954352017869292,0.0004257405830437914,0.0002023662120428433,0.00045352404606452016,5.931005162507934e-05,0.0001187536599803153
16,17.0,-601.5689523335689,-520.0045962898746,-616.3556336983314,-621.8467064555931,-619.973464902977,-603.2855244294053,-617.6826871395988,-1159.9214019398241,-1015.3140481641415,-1183.3209785654474,-1194.3031240799708,-1209.0779992864443,-1163.354546131497,-1185.975085447982,8.800812025725675e-05,0.0037825318170948076,8.85352190113643e-05,0.00013529852396693064,0.00017411373367444126,0.00015137157836717322,0.00014626552859299945
17,18.0,-213.25507926790758,-177.3809933885993,-213.00723836141756,-162.4858785611245,-189.58302772872523,-215.17878408097246,-214.27144509774658,-383.32288340837493,-330.0835438472328,-376.6575908629035,-275.61487126231737,-348.31800179499317,-387.1702930345047,-379.1860043355615,0.00047828990106678343,0.000593764412195695,0.0006353082067079132,7.52350131710161e-05,7.866028853838956e-05,0.000430508672331475,0.00027199944135919174
18,19.0,-342.5013041438404,-318.7133994888118,-320.24034482871303,-339.196907657354,-335.9786451000927,-319.1703578383083,-346.0328000364155,-641.7861055603672,-612.7316545620158,-591.0904008262106,-629.0035264834926,-641.0883596806757,-595.124212949303,-642.6753112416155,0.00023117180290419133,0.0017390480048130167,0.0004814658514282344,0.00015402586359419145,0.0003794229908448777,0.00019896780721628468,0.00018515484772528259
19,20.0,-436.0451354922329,-429.90490461907825,-456.7201391170099,-407.35759577157404,-401.4303786649316,-449.2846722692259,-453.5174211968852,-828.8737682571522,-835.1146648225488,-864.0499894028044,-765.3249027119326,-771.9918268103535,-855.3528418111382,-857.644553562555,0.00044681962592084325,0.0035929447600441923,0.0004286987212237266,0.0009431821104575783,0.0008979102705641995,0.0004405948282346838,0.0004468209007788167
20,21.0,-512.183569138225,-452.0531722843521,-518.3110919630207,-533.9215500922404,-518.0310839196134,-528.6077204681504,-539.2671906739967,-981.1506355491365,-879.4112001530965,-987.2318950948259,-1018.4528113532654,-1005.193237319717,-1013.9989382089873,-1029.1440925167778,0.00012820961287207433,0.002933715370843231,7.430258635244348e-05,0.00013177053568188082,0.00012207942675420154,0.00013358579894720858,0.000128841721514849
21,22.0,-334.5858245187888,-332.6682308828562,-332.2345681510579,-278.79144535866294,-275.0089385552965,-301.9054701040915,-299.23349287150086,-625.955146310264,-640.6413173501047,-615.0788474709003,-508.19260188611037,-519.1489465910832,-560.5944374808694,-549.0766969117863,0.0005763889581929284,0.0007780151155525042,0.00033990692730138694,0.0009695769761643057,0.0007737464285459818,0.00019551790245969067,0.0002897015202994016
22,23.0,-397.0366722064433,-354.5354186109985,-400.7097232986872,-314.0046294789556,-305.092206029581,-401.40252114416256,-399.18495428562505,-750.856841685573,-684.3756928063892,-752.029157766159,-578.6189701266958,-579.3154815396523,-759.5885395610115,-748.9796197400347,0.00011777137287567128,0.0007984233036155376,0.00012744027625372344,0.000172893403370909,5.1922923477777194e-05,0.0001813019300535725,0.0001840961372013487
23,24.0,-499.54960453211197,-483.78509410783977,-480.93833550522874,-493.6561542898145,-492.47701604268696,-468.0134598402389,-499.83279180607724,-955.8827063369104,-942.8750438000718,-912.486382179242,-937.9220197484135,-954.0851015658642,-892.8104169531642,-950.275294780939,0.0002712921419796651,0.000871420813005635,0.00015582970697284636,0.00014372303135691585,0.00017792336343495343,0.00016231399595881404,0.00014245061450475423
24,25.0,-332.49106748688286,-213.65887628933694,-333.17938645285653,-336.74819783986425,-328.6006070993288,-333.42428620374164,-335.5528038882192,-621.7656322464521,-402.62260816306616,-616.9684840744976,-624.106106848513,-626.3322836791478,-623.6320696801697,-621.715318945223,9.740427320850715e-05,0.003116817288225418,6.517998526530254e-05,0.00010554761524857227,0.00015180279891477568,0.00011390699250103595,9.248059712213458e-05
